,adult,genre_ids,id,original_language,original_title,overview,popularity,release_date,title,video,vote_average,vote_count
0,False,"[18, 80]",238,en,The Godfather,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",120.966,1972-03-14,The Godfather,False,8.7,18141
1,False,"[18, 80]",278,en,The Shawshank Redemption,"Framed in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",107.982,1994-09-23,The Shawshank Redemption,False,8.7,24021
2,False,"[18, 80]",240,en,The Godfather Part II,"In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.",68.191,1974-12-20,The Godfather Part II,False,8.6,10949
3,False,"[28, 12, 16, 878]",569094,en,Spider-Man: Across the Spider-Verse,"After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse’s very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.",2013.795,2023-05-31,Spider-Man: Across the Spider-Verse,False,8.6,1796
4,False,"[18, 36, 10752]",424,en,Schindler's List,The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,60.506,1993-12-15,Schindler's List,False,8.6,14198
5,False,"[35, 18, 10749]",19404,hi,दिलवाले दुल्हनिया ले जायेंगे,"Raj is a rich, carefree, happy-go-lucky second generation NRI. Simran is the daughter of Chaudhary Baldev Singh, who in spite of being an NRI is very strict about adherence to Indian values. Simran has left for India to be married to her childhood fiancé. Raj leaves for India with a mission at his hands, to claim his lady love under the noses of her whole family. Thus begins a saga.",23.336,1995-10-19,Dilwale Dulhania Le Jayenge,False,8.6,4154
6,False,"[16, 10751, 14]",129,ja,千と千尋の神隠し,"A young girl, Chihiro, becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free her family.",74.848,2001-07-20,Spirited Away,False,8.5,14455
7,False,[18],389,en,12 Angry Men,"The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other.",44.553,1957-04-10,12 Angry Men,False,8.5,7360
8,False,"[10749, 16, 18]",372058,ja,君の名は。,"High schoolers Mitsuha and Taki are complete strangers living separate lives. But one night, they suddenly switch places. Mitsuha wakes up in Taki’s body, and he in hers. This bizarre occurrence continues to happen randomly, and the two must adjust their lives around each other.",72.524,2016-08-26,Your Name.,False,8.5,9960
9,False,"[35, 53, 18]",496243,ko,기생충,"All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.",70.977,2019-05-30,Parasite,False,8.5,15918
10,False,"[14, 18, 80]",497,en,The Green Mile,"A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cell block's head guard, Paul Edgecomb, recognizes Coffey's miraculous gift, he tries desperately to help stave off the condemned man's execution.",69.123,1999-12-10,The Green Mile,False,8.5,15537
11,False,"[18, 28, 80, 53]",155,en,The Dark Knight,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",90.659,2008-07-14,The Dark Knight,False,8.5,29936
12,False,"[35, 14]",772071,es,Cuando Sea Joven,"70-year-old Malena gets a second chance at life when she magically turns into her 22-year-old self. Now, posing as ""Maria"" to hide her true identity, she becomes the lead singer of her grandson's band and tries to recover her dream of singing, which she had to give up at some point.",16.678,2022-09-14,Cuando Sea Joven,False,8.5,243
13,False,"[53, 80]",680,en,Pulp Fiction,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.",76.675,1994-09-10,Pulp Fiction,False,8.5,25346
14,False,"[35, 18, 10749]",13,en,Forrest Gump,"A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.",73.135,1994-06-23,Forrest Gump,False,8.5,24853
15,False,[37],429,it,"Il buono, il brutto, il cattivo","While the Civil War rages on between the Union and the Confederacy, three men – a quiet loner, a ruthless hitman, and a Mexican bandit – comb the American Southwest in search of a strongbox containing $200,000 in stolen gold.",58.721,1966-12-23,"The Good, the Bad and the Ugly",False,8.5,7478
16,False,"[12, 14, 28]",122,en,The Lord of the Rings: The Return of the King,"Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam take the ring closer to the heart of Mordor, the dark lord's realm.",86.748,2003-12-01,The Lord of the Rings: The Return of the King,False,8.5,21759
17,False,"[28, 12, 16, 18]",704264,en,Primal: Tales of Savagery,"Genndy Tartakovsky's Primal: Tales of Savagery features a caveman and a dinosaur on the brink of extinction. Bonded by tragedy, this unlikely friendship becomes the only hope of survival.",13.701,2019-11-21,Primal: Tales of Savagery,False,8.5,267
18,False,"[18, 80]",769,en,GoodFellas,"The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.",48.506,1990-09-12,GoodFellas,False,8.5,11372
19,False,"[10749, 16]",372754,ja,同級生,"Rihito Sajo, an honor student with a perfect score on the entrance exam and Hikaru Kusakabe, in a band and popular among girls, would have never crossed paths. Until one day they started talking at the practice for their school’s upcoming chorus festival. After school, the two meet regularly, as Hikaru helps Rihito to improve his singing skills. While they listen to each other’s voice and harmonize, their hearts start to beat together.",15.395,2016-02-20,Dou kyu sei – Classmates,False,8.5,311
20,False,"[28, 18]",346,ja,七人の侍,"A samurai answers a village's request for protection after he falls on hard times. The town needs protection from bandits, so the samurai gathers six others to help him teach the people how to defend themselves, and the villagers provide the soldiers with food.",31.9,1954-04-26,Seven Samurai,False,8.5,3095
21,False,"[18, 10749]",11216,it,Nuovo Cinema Paradiso,"A filmmaker recalls his childhood, when he fell in love with the movies at his village's theater and formed a deep friendship with the theater's projectionist.",37.396,1988-11-17,Cinema Paradiso,False,8.5,3796
22,False,[10749],696374,en,Gabriel's Inferno,"An intriguing and sinful exploration of seduction, forbidden love, and redemption, Gabriel's Inferno is a captivating and wildly passionate tale of one man's escape from his own personal hell as he tries to earn the impossible--forgiveness and love.",16.09,2020-05-29,Gabriel's Inferno,False,8.5,2343
23,False,"[35, 18]",637,it,La vita è bella,A touching story of an Italian book seller of Jewish ancestry who lives in his own little fairy tale. His creative and happy life would come to an abrupt halt when his entire family is deported to a concentration camp during World War II. While locked up he tries to convince his son that the whole thing is just a game.,49.131,1997-12-20,Life Is Beautiful,False,8.5,11968
